timestamp_pc;measurement_number;refractive_index;temperature;brix;concentration;f_t;device_date;device_time
2026-09-17 12:00:31.924;350;1.33089;25.06;-1.14;-1.111;0.0000;08/23/05;07:13
2026-09-17 12:00:47.139;351;1.33062;25.06;-1.32;-1.296;0.0000;08/23/05;07:13
2026-09-17 12:01:02.352;352;1.33152;25.06;-0.70;-0.680;0.0000;08/23/05;07:13
2026-09-17 12:01:17.551;353;1.33098;25.06;-1.06;-1.050;0.0000;08/23/05;07:13
2026-09-17 12:01:32.755;354;1.33169;25.04;-0.56;-0.564;0.0000;08/23/05;07:14
2026-09-17 12:01:47.896;355;1.33091;25.04;-1.12;-1.098;0.0000;08/23/05;07:14
2026-09-17 12:02:03.136;356;1.33117;25.04;-0.94;-0.920;0.0000;08/23/05;07:14
2026-09-17 12:02:18.354;357;1.32987;25.04;-1.86;-1.810;0.0000;08/23/05;07:14
2026-09-17 12:02:48.766;359;1.33046;25.04;-1.44;-1.406;0.0000;08/23/05;07:15
2026-09-17 12:03:03.952;360;1.33030;25.04;-1.56;-1.515;0.0000;08/23/05;07:15
2026-09-17 12:03:19.132;361;1.33087;25.04;-1.16;-1.125;0.0000;08/23/05;07:15
2026-09-17 12:03:34.366;362;1.33281;25.10;0.24;0.203;0.0508;08/23/05;07:16
2026-09-17 12:03:49.616;363;1.33282;25.10;0.24;0.210;0.0525;08/23/05;07:16
2026-09-17 12:04:04.801;364;1.33282;25.10;0.24;0.210;0.0525;08/23/05;07:16
2026-09-17 12:04:19.969;365;1.33283;25.10;0.24;0.217;0.0542;08/23/05;07:16
2026-09-17 12:04:35.239;366;1.33281;25.10;0.24;0.203;0.0508;08/23/05;07:17
2026-09-17 12:04:50.481;367;1.33281;25.10;0.24;0.203;0.0508;08/23/05;07:17
2026-09-17 12:05:05.704;368;1.33285;25.10;0.26;0.231;0.0576;08/23/05;07:17
2026-09-17 12:05:20.951;369;1.33282;25.10;0.24;0.210;0.0525;08/23/05;07:17
2026-09-17 12:05:36.167;370;1.33282;25.10;0.24;0.210;0.0525;08/23/05;07:18
2026-09-17 12:05:51.334;371;1.33282;25.10;0.24;0.210;0.0525;08/23/05;07:18
2026-09-17 12:06:06.610;372;1.33284;25.10;0.26;0.224;0.0559;08/23/05;07:18
2026-09-17 12:06:21.717;373;1.33282;25.10;0.24;0.210;0.0525;08/23/05;07:18
2026-09-17 12:06:37.017;374;1.33283;25.10;0.24;0.217;0.0542;08/23/05;07:19
2026-09-17 12:06:52.200;375;1.33283;25.12;0.24;0.217;0.0542;08/23/05;07:19
2026-09-17 12:07:07.383;376;1.33282;25.12;0.24;0.210;0.0525;08/23/05;07:19
2026-09-17 12:07:22.649;377;1.33283;25.10;0.24;0.217;0.0542;08/23/05;07:19
2026-09-17 12:07:37.815;378;1.33285;25.12;0.26;0.231;0.0576;08/23/05;07:20
2026-09-17 12:07:53.049;379;1.33282;25.12;0.24;0.210;0.0525;08/23/05;07:20
2026-09-17 12:08:08.231;380;1.33283;25.12;0.24;0.217;0.0542;08/23/05;07:20
2026-09-17 12:08:23.481;381;1.33284;25.12;0.26;0.224;0.0559;08/23/05;07:20
2026-09-17 12:08:38.647;382;1.33287;25.12;0.28;0.244;0.0611;08/23/05;07:21
2026-09-17 12:08:53.914;383;1.33292;25.12;0.32;0.278;0.0696;08/23/05;07:21
2026-09-17 12:09:09.096;384;1.33307;25.12;0.42;0.381;0.0953;08/23/05;07:21
2026-09-17 12:09:24.295;385;1.33361;25.12;0.80;0.751;0.1877;08/23/05;07:22
2026-09-17 12:09:39.513;386;1.33459;25.12;1.48;1.422;0.3555;08/23/05;07:22
2026-09-17 12:09:54.681;387;1.33552;25.12;2.12;2.059;0.5146;08/23/05;07:22
2026-09-17 12:10:09.926;388;1.33631;25.12;2.68;2.599;0.6498;08/23/05;07:22
2026-09-17 12:10:25.192;389;1.33685;25.12;3.04;2.969;0.7423;08/23/05;07:23
2026-09-17 12:10:40.345;390;1.33714;25.12;3.24;3.168;0.7919;08/23/05;07:23
2026-09-17 12:10:55.537;391;1.33740;25.14;3.42;3.346;0.8364;08/23/05;07:23
2026-09-17 12:11:10.791;392;1.33751;25.14;3.50;3.421;0.8552;08/23/05;07:23
2026-09-17 12:11:26.010;393;1.33760;25.14;3.56;3.483;0.8706;08/23/05;07:24
2026-09-17 12:11:41.221;394;1.33766;25.16;3.60;3.524;0.8809;08/23/05;07:24
2026-09-17 12:11:56.439;395;1.33768;25.16;3.62;3.537;0.8843;08/23/05;07:24
2026-09-17 12:12:11.609;396;1.33770;25.16;3.62;3.551;0.8877;08/23/05;07:24
2026-09-17 12:12:26.842;397;1.33772;25.16;3.64;3.565;0.8912;08/23/05;07:25
2026-09-17 12:12:42.076;398;1.33774;25.16;3.66;3.578;0.8946;08/23/05;07:25
2026-09-17 12:12:57.226;399;1.33774;25.14;3.66;3.578;0.8946;08/23/05;07:25
2026-09-17 12:13:12.410;400;1.33775;25.16;3.66;3.585;0.8963;08/23/05;07:25
2026-09-17 12:13:27.613;401;1.33773;25.16;3.64;3.572;0.8929;08/23/05;07:26
2026-09-17 12:13:42.824;402;1.33771;25.16;3.64;3.558;0.8895;08/23/05;07:26
2026-09-17 12:13:58.043;403;1.33771;25.16;3.64;3.558;0.8895;08/23/05;07:26
2026-09-17 12:14:13.226;404;1.33770;25.16;3.62;3.551;0.8877;08/23/05;07:26
2026-09-17 12:14:28.461;405;1.33770;25.14;3.62;3.551;0.8877;08/23/05;07:27
2026-09-17 12:14:43.658;406;1.33770;25.14;3.62;3.551;0.8877;08/23/05;07:27
2026-09-17 12:14:58.857;407;1.33771;25.14;3.64;3.558;0.8895;08/23/05;07:27
